V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
4,9,9,6,7,10,12,9,14,7,22,15,2,3,3,6,8,6,4,4
7,2,7,4,3,2,2,2,3,8,8,6,1,3,4,4,4,0,2,9
6,4,5,6,3,3,6,17,39,37,10,12,9,5,3,6,5,2,2,5
13,12,30,34,64,85,53,113,94,41,29,25,14,12,16,14,7,5,5,15
7,17,15,4,5,14,19,28,24,77,112,136,157,109,71,37,17,32,35,22
3,3,2,2,1,1,4,9,4,11,12,10,6,5,4,0,0,1,3,4
3,6,6,14,17,13,6,11,11,13,14,13,27,28,17,16,18,21,22,14
31,32,35,29,17,19,31,42,71,95,73,38,19,24,19,16,7,29,54,61
2,1,3,10,17,16,9,9,10,6,7,6,4,7,18,13,4,3,6,3
15,17,15,18,21,58,124,118,77,75,74,37,57,41,13,19,18,20,25,37
0,4,2,1,10,9,0,6,5,4,4,1,8,8,1,0,1,1,0,0
30,35,31,18,23,33,58,120,154,135,119,119,247,233,177,81,125,238,275,314
47,10,0,2,21,10,2,22,29,22,4,14,23,17,18,8,4,18,29,14
2,5,5,6,4,2,7,10,9,7,7,4,3,2,2,3,3,1,6,5
7,4,15,27,17,6,19,40,62,114,119,149,118,83,62,30,11,24,46,33
26,39,59,119,166,138,115,117,115,137,120,99,68,44,34,28,30,22,19,8
7,7,5,7,2,2,7,12,5,7,13,12,5,2,3,3,2,0,0,7
9,8,8,6,5,9,21,17,7,9,12,8,6,17,8,13,11,8,9,9
0,3,4,4,6,4,3,4,1,1,0,6,7,0,3,8,4,2,3,0
13,13,8,1,4,4,7,4,0,4,4,11,9,4,9,9,8,6,6,1
7,9,9,3,4,11,19,8,12,11,6,10,12,3,1,1,3,9,7,7
4,4,3,1,5,14,13,8,9,9,12,14,18,21,20,10,8,2,3,8
0,11,16,5,3,19,8,14,31,11,17,14,25,17,2,12,3,3,2,0
6,22,19,2,3,5,4,4,4,8,26,23,7,6,4,1,4,3,5,9
9,22,16,14,9,9,7,15,22,27,37,24,19,19,20,15,12,8,9,12
0,0,0,0,0,1,1,3,14,29,8,11,7,5,7,11,9,4,5,6
6,3,5,8,9,9,16,3,4,3,5,5,5,13,5,2,2,0,6,6
1,0,1,0,1,3,2,13,27,30,26,13,26,15,10,5,9,11,2,2
14,11,3,2,15,16,8,5,5,11,5,8,13,8,10,4,3,0,1,1
18,15,8,11,25,23,66,70,91,154,147,250,190,174,150,194,175,120,127,97
38,37,57,93,85,72,190,154,111,198,126,72,104,123,96,58,46,56,66,53
2,2,10,11,0,2,6,14,9,7,9,2,3,0,1,7,14,18,12,7
14,8,6,11,13,12,8,5,16,13,8,10,7,5,3,3,5,5,17,20
12,12,19,22,22,29,22,17,28,34,41,35,25,28,15,12,8,6,3,0
1,3,2,0,1,2,2,1,0,5,4,3,4,2,3,3,5,3,1,2
43,55,96,103,67,41,41,122,274,305,253,348,216,93,37,21,43,78,104,49
7,11,7,6,8,14,15,19,16,4,6,7,3,7,11,8,7,12,11,9
0,5,5,0,0,2,3,4,4,3,7,4,4,2,6,14,9,3,0,0
18,34,72,55,42,33,30,33,82,189,256,264,173,157,151,153,110,59,31,29
8,12,5,10,11,5,0,8,11,8,11,10,13,7,9,1,7,5,3,9
0,0,1,1,0,1,1,0,10,22,11,11,8,1,8,8,2,5,4,11
26,60,69,125,144,132,168,299,266,187,210,143,104,69,56,57,42,42,31,34
