V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0,0,0,2,5,5,42,82,67,41,61,33,21,2,12,26,21,12,14,4
16,18,16,25,23,54,141,228,210,191,130,129,134,46,10,5,9,7,11,17
7,10,30,37,32,47,54,81,128,149,131,159,290,218,166,177,130,114,66,44
3,5,3,3,3,4,0,0,2,1,9,11,2,3,4,5,1,0,0,1
6,1,7,5,6,15,15,27,33,60,105,116,39,13,3,3,2,7,14,7
29,8,30,46,47,79,117,161,200,162,117,73,58,26,23,51,56,38,40,28
269,242,112,32,27,39,39,100,96,114,204,249,120,60,19,7,9,15,54,53
15,24,20,5,7,27,30,116,163,258,338,232,158,78,25,22,35,36,18,9
8,9,15,32,24,28,27,33,67,51,43,89,63,20,14,17,22,19,23,17
3,9,8,9,4,0,4,63,98,72,53,56,52,24,5,4,5,2,6,4
40,12,13,14,12,13,19,13,7,10,28,71,80,89,73,51,81,64,42,33
10,6,10,1,6,13,9,33,46,31,41,48,19,8,4,5,6,4,1,0
15,20,24,17,13,8,23,41,67,72,60,76,80,37,13,4,1,2,5,5
24,27,18,15,16,17,42,47,153,116,124,93,37,27,12,5,3,9,25,19
0,11,6,9,12,0,2,23,92,112,123,146,111,83,21,24,32,53,32,17
0,0,14,20,11,11,16,55,74,78,73,50,39,6,4,8,12,6,3,6
11,7,7,15,14,7,7,29,55,34,48,40,34,23,2,0,5,8,9,12
29,18,19,15,16,10,26,37,25,17,6,6,8,9,18,42,31,30,46,50
7,6,7,9,4,9,12,44,68,60,52,40,27,18,4,11,25,28,45,74
80,75,66,40,15,12,66,127,130,127,137,110,53,24,17,14,16,21,17,12
9,9,33,27,7,14,14,49,85,70,60,68,40,12,9,9,6,6,7,4
28,29,27,5,3,13,27,21,35,79,125,120,130,182,278,295,203,256,226,102
3,4,6,8,4,8,42,52,43,50,29,30,32,12,17,8,14,4,0,2
12,9,32,33,44,46,73,135,136,97,73,119,136,118,181,162,112,105,96,60
0,4,4,2,24,26,2,0,12,33,31,20,27,33,27,47,49,20,3,2
11,12,12,9,21,29,22,45,90,145,260,237,194,161,174,156,160,70,18,12
0,0,0,0,0,0,4,0,74,110,141,225,127,75,30,18,7,8,0,0
13,35,54,49,60,46,52,62,44,67,46,20,49,37,23,26,39,31,32,33
7,13,11,10,21,21,7,0,5,10,35,30,0,0,8,8,1,4,4,4
32,27,28,30,14,20,39,72,168,168,124,93,168,110,76,67,39,30,19,20
11,24,19,8,11,32,64,107,150,113,45,124,117,50,19,13,11,29,27,18
0,4,5,6,3,1,4,32,46,55,89,58,14,5,10,3,2,4,4,1
12,13,14,5,6,19,21,24,21,42,53,61,54,79,85,69,43,32,19,11
5,10,0,4,3,7,8,21,82,78,56,71,33,4,5,9,1,7,8,4
6,4,5,2,6,29,28,48,72,42,18,17,5,14,13,15,16,28,16,10
12,12,6,12,11,26,45,73,107,100,140,107,70,35,20,9,4,5,1,4
10,13,5,1,0,0,0,0,23,59,35,1,8,2,15,1,0,0,1,0
22,30,55,48,39,65,29,22,22,21,31,33,43,52,34,17,13,36,42,38
34,41,63,43,57,67,50,70,86,60,50,85,129,114,83,45,39,31,34,35
6,7,6,9,22,17,22,105,157,76,49,37,12,15,18,26,24,15,7,16
